"direction","line_name","org_name","org_lat","org_long","dest_name","dest_lat","dest_long","vech_name","vech_lat","vech_long","next_point_name","arrivial_app","dist_from_stop","weekend_status","day_of_year","time_of_day","delay_mins"
1,"Bx10","RIVERDALE AV/W 263 ST",40.912365,-73.902702,"NORWOOD 205 ST STA",40.875034,-73.879944,"NYCT_8373",40.88142,-73.8792,"BAINBRIDGE AV/E GUN HILL RD","approaching",113,FALSE,172,792,5.58333333333333
1,"S54","BROADWAY/RICHMOND TER",40.639839,-74.117943,"ELTINGVILLE RICHMOND AV",40.533653,-74.154137,"NYCT_7007",40.542683,-74.146295,"HYLAN BL/OSBORNE AV","< 1 stop away",413,FALSE,163,860,3.15
1,"Q85","243 ST/147 AV",40.657738,-73.741211,"LTD JAMAICA PARSONS - ARCHER",40.701683,-73.802475,"NYCT_5155",40.672413,-73.764167,"FARMERS BL/182 ST","approaching",86,FALSE,236,411,2.95
1,"Q17","138 ST/37 AV",40.761806,-73.829556,"JAMAICA ARCHER AV",40.704933,-73.793318,"NYCT_8062",40.738462,-73.794398,"HORACE HARDING EXP/UTOPIA PY","< 1 stop away",192,TRUE,336,1306,4.41666666666667
0,"M57","W 72 ST/BROADWAY",40.779034,-73.982412,"EAST SIDE YORK - 60 ST XTOWN",40.759519,-73.959889,"NYCT_3930",40.759569,-73.959947,"E 60 ST/YORK AV","at stop",6,FALSE,289,1154,11.9166666666667
1,"Bx30","EARHART LA/ERSKINE PL",40.861114,-73.822549,"NORWOOD 205 ST STA",40.874925,-73.880517,"NYCT_8325",40.879016,-73.843376,"BOSTON RD/TIEMANN AV","approaching",68,FALSE,304,448,-0.05
0,"M60-SBS","BROADWAY/W 106 ST",40.801818,-73.967642,"SELECT BUS SERVICE LA GUARDIA AIRPORT",40.768074,-73.862089,"NYCT_5844",40.803834,-73.936139,"E 125 ST/2 AV","< 1 stop away",229,FALSE,298,701,1.45
0,"M102","ASTOR PL/3 AV",40.729568,-73.990051,"HARLEM 147 ST via 3 AV",40.821198,-73.936119,"NYCT_6045",40.790093,-73.945752,"3 AV/E 104 ST","approaching",60,TRUE,225,1277,17.8166666666667
0,"Bx15","ST CLAIRE PL/W 125 ST",40.817065,-73.959775,"LIMITED FORDHAM PLZ via 3 AV",40.86099,-73.890265,"NYCT_5895",40.806674,-73.924591,"WILLIS AV/E 138 ST","< 1 stop away",292,FALSE,286,516,4.71666666666667
1,"M22","GRAND ST/FDR DR",40.713264,-73.977982,"BATTERY PK CTY",40.71453,-74.015356,"NYCT_5231",40.715355,-74.014108,"VESEY ST/NORTH END AV","< 1 stop away",367,FALSE,283,11,4.51666666666667
1,"M10","FRED DOUGLASS BL/W 158 ST",40.830956,-73.935989,"COLUMBUS CIRCLE via CENTRAL PARK W.",40.766529,-73.981964,"NYCT_6424",40.769471,-73.98221,"BROADWAY/W 61 ST","at stop",0,FALSE,156,1316,5.95
0,"M100","1 AV/125 ST",40.801968,-73.931358,"INWOOD 220 ST via AMSTERDAM via BWAY",40.871902,-73.913101,"NYCT_8378",40.864906,-73.928418,"DYCKMAN ST/BROADWAY","approaching",142,FALSE,234,866,-4.56666666666667
1,"B20","PUTNAM AV/FAIRVIEW AV",40.704739,-73.902275,"SPRING CREEK STANLEY AV POSTAL FAC",40.664642,-73.863068,"NYCT_6508",40.70269,-73.895238,"FRESH POND RD/70 AV","at stop",3,FALSE,229,544,26.6166666666667
0,"Bx36","W 179 ST/BROADWAY",40.849112,-73.93775,"SOUNDVIEW PUGSLEY AV",40.820506,-73.851633,"NYCT_336",40.827614,-73.860309,"WHITE PLAINS RD/BRUCKNER BL","approaching",141,FALSE,347,582,6.3
0,"M5","6 AV/W 31 ST",40.748043,-73.98896,"LIMITED WASHINGTON HEIGHTS GW BRIDGE",40.848263,-73.937454,"NYCT_6384",40.827567,-73.949623,"BROADWAY/W 151 ST","< 1 stop away",370,FALSE,166,1172,27.8833333333333
1,"Q2","HEMPSTEAD AV/225 ST",40.71162,-73.729233,"JAMAICA 165 ST TERM",40.707615,-73.79554,"NYCT_8012",40.712037,-73.788633,"HILLSIDE AV/172 ST","approaching",131,FALSE,214,745,9.2
0,"Bx41-SBS","3 AVE/WESTCHESTER AV",40.816803,-73.916328,"SELECT BUS SERVICE WLIMSBRDG GUN HILL RD",40.877762,-73.86599,"NYCT_5783",40.872675,-73.875225,"WEBSTER AV/GUN HILL RD","< 1 stop away",711,TRUE,154,959,0.266666666666667
1,"B4","KNAPP ST/HARKNESS AV",40.586441,-73.931587,"BAY RIDGE NARROWS AV",40.631718,-74.036407,"NYCT_759",40.592014,-73.977398,"86 ST/W 7 ST","approaching",67,FALSE,222,931,-2.16666666666667
1,"X12","W 57 ST/11 AV",40.770035,-73.990974,"MARINRS HBR SOUTH AV",40.64011,-74.165756,"NYCT_2700",40.755619,-73.979328,"5 AV/W 45 ST","at stop",19,FALSE,153,883,3.51666666666667
